V [50%]   |   M 105.28M (11.43%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .62   |   T 56°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.20M (11.42%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .62   |   T 56°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.21M (11.43%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .62   |   T 50°C   |   mar, 03 NOV 21:01
V [50%]   |   M 104.96M (11.40%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .62   |   T 49°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.29M (11.43%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .62   |   T 53°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.51M (11.46%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .62   |   T 53°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.44M (11.45%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .62   |   T 50°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.22M (11.43%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .57   |   T 49°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.01M (11.40%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .57   |   T 53°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.19M (11.42%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .57   |   T 53°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.26M (11.43%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .57   |   T 51°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.44M (11.45%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .57   |   T 49°C   |   mar, 03 NOV 21:01
V [50%]   |   M 104.97M (11.40%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .57   |   T 51°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.18M (11.42%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .57   |   T 51°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.76M (11.49%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .52   |   T 51°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.44M (11.45%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .52   |   T 49°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.46M (11.45%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .52   |   T 51°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.18M (11.42%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .52   |   T 51°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.71M (11.48%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .52   |   T 52°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.21M (11.43%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .52   |   T 49°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.42M (11.45%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .52   |   T 49°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.17M (11.42%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .48   |   T 49°C   |   mar, 03 NOV 21:01
V [50%]   |   M 106.82M (11.60%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .48   |   T 52°C   |   mar, 03 NOV 21:01
V [50%]   |   M 106.04M (11.52%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .48   |   T 49°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.80M (11.49%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .48   |   T 48°C   |   mar, 03 NOV 21:01
V [50%]   |   M 106.06M (11.52%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .48   |   T 48°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.57M (11.47%)   |   /H 5543.90M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .48   |   T 53°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.54M (11.46%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .48   |   T 49°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.86M (11.50%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .44   |   T 48°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.82M (11.49%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .44   |   T 48°C   |   mar, 03 NOV 21:01
V [50%]   |   M 106.10M (11.52%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .44   |   T 54°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.83M (11.49%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .44   |   T 49°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.29M (11.43%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .44   |   T 48°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.60M (11.47%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .44   |   T 48°C   |   mar, 03 NOV 21:01
V [50%]   |   M 105.57M (11.47%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .48   |   T 54°C   |   mar, 03 NOV 21:02
V [50%]   |   M 105.90M (11.50%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .48   |   T 49°C   |   mar, 03 NOV 21:02
V [50%]   |   M 105.82M (11.49%)   |   /H 5543.89M(80%)  /F 22531.41M(80%)   |   192.168.1.10  D K U K   |   C .48   |   T 48°C   |   mar, 03 NOV 21:02
